"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  196.3900   3.5654E-19   3.5281E-19   3.5343E-19   3.5463E-19
  196.4000   3.5671E-19   3.5295E-19   3.5299E-19   3.5433E-19
  196.4100   3.5669E-19   3.5282E-19   3.5272E-19   3.5385E-19
  196.4200   3.5621E-19   3.5282E-19   3.5252E-19   3.5363E-19
  196.4300   3.5659E-19   3.5272E-19   3.5248E-19   3.5338E-19
  196.4400   3.5609E-19   3.5255E-19   3.5230E-19   3.5318E-19
  196.4500   3.5601E-19   3.5233E-19   3.5219E-19   3.5299E-19
  196.4600   3.5607E-19   3.5206E-19   3.5222E-19   3.5296E-19
  196.4700   3.5588E-19   3.5166E-19   3.5225E-19   3.5294E-19
  196.4800   3.5536E-19   3.5159E-19   3.5212E-19   3.5255E-19
  196.4900   3.5471E-19   3.5132E-19   3.5200E-19   3.5227E-19
  196.5000   3.5431E-19   3.5123E-19   3.5188E-19   3.5200E-19
  196.5100   3.5416E-19   3.5108E-19   3.5198E-19   3.5189E-19
  196.5200   3.5409E-19   3.5097E-19   3.5188E-19   3.5162E-19
  196.5300   3.5470E-19   3.5084E-19   3.5159E-19   3.5161E-19
  196.5400   3.5432E-19   3.5049E-19   3.5137E-19   3.5164E-19
  196.5500   3.5410E-19   3.5021E-19   3.5096E-19   3.5171E-19
  196.5600   3.5395E-19   3.4995E-19   3.5040E-19   3.5142E-19
  196.5700   3.5411E-19   3.4978E-19   3.5011E-19   3.5125E-19
  196.5800   3.5430E-19   3.4983E-19   3.5009E-19   3.5098E-19
  196.5900   3.5328E-19   3.4982E-19   3.5008E-19   3.5067E-19
  196.6000   3.5281E-19   3.4980E-19   3.5002E-19   3.5020E-19
  196.6100   3.5268E-19   3.4979E-19   3.4991E-19   3.5011E-19
  196.6200   3.5212E-19   3.4951E-19   3.4978E-19   3.5006E-19
  196.6300   3.5182E-19   3.4926E-19   3.4933E-19   3.5000E-19
  196.6400   3.5157E-19   3.4880E-19   3.4905E-19   3.4968E-19
  196.6500   3.5152E-19   3.4838E-19   3.4896E-19   3.4957E-19
  196.6600   3.5158E-19   3.4807E-19   3.4900E-19   3.4942E-19
  196.6700   3.5125E-19   3.4775E-19   3.4902E-19   3.4897E-19
  196.6800   3.5108E-19   3.4744E-19   3.4893E-19   3.4873E-19
  196.6900   3.5094E-19   3.4745E-19   3.4870E-19   3.4857E-19
  196.7000   3.5152E-19   3.4711E-19   3.4832E-19   3.4828E-19
  196.7100   3.5147E-19   3.4696E-19   3.4782E-19   3.4818E-19
  196.7200   3.5114E-19   3.4691E-19   3.4764E-19   3.4772E-19
  196.7300   3.5118E-19   3.4671E-19   3.4744E-19   3.4751E-19
  196.7400   3.5080E-19   3.4672E-19   3.4754E-19   3.4734E-19
  196.7500   3.5103E-19   3.4690E-19   3.4758E-19   3.4720E-19
  196.7600   3.5087E-19   3.4683E-19   3.4753E-19   3.4720E-19
  196.7700   3.5076E-19   3.4705E-19   3.4730E-19   3.4721E-19
  196.7800   3.5097E-19   3.4690E-19   3.4701E-19   3.4726E-19
  196.7900   3.5085E-19   3.4659E-19   3.4661E-19   3.4736E-19
  196.8000   3.5074E-19   3.4634E-19   3.4632E-19   3.4706E-19
  196.8100   3.5047E-19   3.4612E-19   3.4592E-19   3.4700E-19
  196.8200   3.5075E-19   3.4599E-19   3.4580E-19   3.4692E-19
  196.8300   3.5009E-19   3.4579E-19   3.4561E-19   3.4669E-19
  196.8400   3.4972E-19   3.4545E-19   3.4553E-19   3.4659E-19
  196.8500   3.4957E-19   3.4538E-19   3.4522E-19   3.4651E-19
