ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  171.46  6.0966e-01
  171.51  6.4256e-01
  171.56  6.7967e-01
  171.61  7.1508e-01
  171.66  7.5902e-01
  171.71  8.0535e-01
  171.76  7.9771e-01
  171.81  7.6201e-01
  171.86  7.5575e-01
  171.91  7.4984e-01
  171.96  7.3807e-01
  172.01  7.8314e-01
  172.06  8.2234e-01
  172.11  8.4477e-01
  172.16  7.6028e-01
  172.21  7.2403e-01
  172.26  7.0280e-01
  172.31  7.0283e-01
  172.36  6.8902e-01
  172.41  7.3396e-01
  172.46  8.0461e-01
  172.51  8.4216e-01
  172.56  8.2250e-01
  172.61  8.0325e-01
  172.66  8.0900e-01
  172.71  7.9761e-01
  172.76  7.9236e-01
  172.81  8.0383e-01
  172.86  7.8985e-01
  172.91  7.4394e-01
  172.96  6.9262e-01
  173.01  6.5280e-01
  173.06  6.7269e-01
  173.11  6.9426e-01
  173.16  7.3050e-01
  173.21  7.4440e-01
  173.26  7.4056e-01
  173.31  7.6032e-01
  173.36  7.7471e-01
  173.41  7.6456e-01
  173.46  7.7481e-01
  173.51  7.7946e-01
  173.56  7.9481e-01
  173.61  8.1224e-01
  173.66  8.0411e-01
  173.71  8.0233e-01
  173.76  7.9007e-01
  173.81  7.9952e-01
  173.86  8.2767e-01
  173.91  8.5024e-01
  173.96  8.4608e-01
  174.01  8.4640e-01
  174.06  8.5686e-01
  174.11  9.0700e-01
  174.16  9.2309e-01
  174.21  9.4649e-01
  174.26  9.4717e-01
  174.31  9.5393e-01
  174.36  9.5743e-01
  174.41  9.6111e-01
  174.46  1.0004e+00
  174.51  9.8090e-01
  174.56  9.5200e-01
  174.61  9.6719e-01
  174.66  9.7013e-01
  174.71  8.9247e-01
  174.76  8.4747e-01
  174.81  8.7384e-01
  174.86  8.9962e-01
  174.91  9.4032e-01
  174.96  9.4128e-01
  175.01  9.5449e-01
  175.06  1.0049e+00
  175.11  1.0677e+00
  175.16  1.1030e+00
  175.21  1.0825e+00
  175.26  1.0741e+00
  175.31  1.0747e+00
  175.36  1.0946e+00
  175.41  1.1180e+00
  175.46  1.1241e+00
  175.51  1.1892e+00
  175.56  1.1694e+00
  175.61  1.1149e+00
  175.66  1.1378e+00
  175.71  1.1575e+00
  175.76  1.1872e+00
  175.81  1.1714e+00
  175.86  1.1702e+00
  175.91  1.2099e+00
  175.96  1.2022e+00
  176.01  1.1865e+00
  176.06  1.1915e+00
  176.11  1.2246e+00
  176.16  1.2789e+00
  176.21  1.2778e+00
  176.26  1.2434e+00
  176.31  1.1408e+00
  176.36  1.1115e+00
  176.41  1.1639e+00
  176.46  1.1656e+00
  176.51  1.1701e+00
  176.56  1.0519e+00
  176.61  1.0327e+00
  176.66  1.1797e+00
  176.71  1.3116e+00
  176.76  1.4610e+00
  176.81  1.3818e+00
  176.86  1.2976e+00
  176.91  1.2404e+00
  176.96  1.2575e+00
  177.01  1.3549e+00
  177.06  1.4146e+00
  177.11  1.4668e+00
  177.16  1.5282e+00
  177.21  1.5774e+00
  177.26  1.6631e+00
  177.31  1.7388e+00
  177.36  1.6855e+00
  177.41  1.5854e+00
  177.46  1.3740e+00
  177.51  1.2480e+00
  177.56  1.1754e+00
  177.61  1.2363e+00
  177.66  1.3076e+00
  177.71  1.3103e+00
  177.76  1.3317e+00
  177.81  1.3628e+00
  177.86  1.4791e+00
  177.91  1.5785e+00
  177.96  1.6002e+00
  178.01  1.5978e+00
  178.06  1.6659e+00
  178.11  1.6574e+00
  178.16  1.5670e+00
  178.21  1.4963e+00
  178.26  1.4613e+00
  178.31  1.5291e+00
  178.36  1.5774e+00
  178.41  1.5933e+00
  178.46  1.5765e+00
  178.51  1.5827e+00
  178.56  1.6030e+00
  178.61  1.6485e+00
